Id del anuncio,Título,Tipo de inmueble,Descripción,Dirección,Barrio,Municipio,Distrito,Habitaciones,Baños,Metros cuadrados construidos,Planta,Ascensor (Sí/No),Obra nueva (Sí/No),Piscina (Sí/No),Terraza (Sí/No),Parking (Sí/No),Parking incluido en el precio (Sí/No),Aire acondicionado (Sí/No),Trastero (Sí/No),Jardín (Sí/No),Precio,Grupo
103139211,Piso en calle Álvarez Taladriz,Piso,"¡Magnífica Vivienda Exterior en Excelente Estado – Construcción del 2005! Distribución: - 3 amplios dormitorios, destacando el dormitorio principal con baño para mayor privacidad y confort y armarios de puertas correderas. - Espacioso salón-comedor. - Cocina en L, completamente amueblada y equipada, con espacio para una mesa de comedor, perfecta para desayunos o comidas informales. - 2 baños, uno con ducha y otro bañera. Características adicionales: - Ascensor, garantizando fácil acceso a la vivienda. - Suelos de tarima, que aportan calidez y estilo a todas las estancias. - Ventanas de aluminio con sistema climalit, asegurando un excelente aislamiento térmico y acústico para mayor comodidad. - Trastero privado ubicado en la última planta, ideal para almacenaje extra. - Amplia plaza de garaje, perfecta incluso para coches de mayor tamaño. - Trastero comunitario para bicicletas, pensado para quienes buscan un estilo de vida activo y sostenible. - Calefacción y agua caliente individual, mediante caldera de gas natural. Ubicación: - A pocos minutos del Centro Comercial El Corte Inglés, con todas las tiendas y servicios que necesitas a tu alcance. - Fácil acceso a atención médica, Centro de Salud de Plaza del Ejército. - Excelente conexión con las estaciones de Renfe y autobuses, para moverte fácilmente por la ciudad o fuera de ella. - Cercanía al prestigioso Colegio Maristas (Centro Cultural). PuenteVall te invita a conocer esta vivienda excepcional que combina confort, ubicación y calidad de vida. ¡No pierdas la oportunidad de vivir en un entorno tan privilegiado! [IW].",calle Álvarez Taladriz,-,Valladolid,Pº Zorrilla - Plaza de Toros,3,2,92,4,Sí,No,No,No,Sí,Sí,No,Sí,No,265000,7
105395302,Dúplex en calle de Felipe Ruiz Martín,Duplex,"Henar de Pedro y RE/MAX Olid os presenta: La elegancia de este impresionante dúplex situado en la codiciada zona de Parquesol. Este hogar, diseñado con los más altos estándares de calidad y confort, ofrece un estilo de vida excepcional. *Características destacadas: * • *Salón y cocina de lujo*: El espacioso salón está diseñado para el máximo confort y estilo, con acabados de alta gama que crean un ambiente sofisticado. La cocina, totalmente equipada con electrodomésticos de última generación, es un sueño hecho realidad para cualquier amante de la gastronomía. • * Impresionantes terrazas*: Disfruta de vistas privilegiadas desde una amplia terraza, el lugar perfecto para relajarse, entretener a tus invitados o simplemente disfrutar de la tranquilidad. . *Un balcón en la planta de arriba. • *Espacios generosos*: El dúplex cuenta con 4 habitaciones bien distribuidas, ofreciendo espacios cómodos y funcionales. Los 3 baños están diseñados con detalles de lujo y acabados modernos. • *Comodidades adicionales*: Dos plazas de garaje proporcionan comodidad y seguridad para tus vehículos. Un trastero muy amplio, y las zonas comunes de lujo incluyen áreas verdes, piscina, pista de pádel, elevando tu experiencia de vida a otro nivel. Vivir en este dúplex de Parquesol es una oportunidad única para disfrutar de un hogar que combina lujo, comodidad y vistas espectaculares, en una de las zonas más prestigiosas de la ciudad. No pierdas la oportunidad de hacer de este dúplex tu nuevo hogar Soy Henar de Pedro LLÁMAME... ! _6_5_3_1_5_7_0_8_6_.",calle de Felipe Ruiz Martín,-,Valladolid,Parquesol,4,3,220,1,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,375028,22
105197974,"Piso en calle Estación, 7",Piso,"Situado en la calle Estación, al lado del Registro de la Propiedad y junto a la estación de trenes. Consta de 114 metros cuadrados distribuidos en 4 dormitorios de gran tamaño, salón-comedor, cocina, 1 baño grande con plato de ducha y un aseo que también puede ser un pequeño almacén. Para entrara vivir. Tiene calefacción individual de gas natural. Es un 5º de altura con ascensor y muy luminoso. Piso muy bien situado con todos los servicios a un paseo, no pierdas la oportunidad de vivir en el centro.","calle Estación, 7",-,Valladolid,Centro,4,2,114,5,Sí,No,No,No,No,No,No,No,No,260000,8
104205226,"Piso en calle Tudela, 1",Piso,"En la calle Tudela, junto a la plaza Cruz Verde, se vende una vivienda de cuatro dormitorios y salón de 20 metros, cocina equipada y un cuarto de baño.  Es un octavo de altura muy luminoso, con buenas vistas del entorno. Tiene servicios centrales con contador individual para calefacción y agua caliente sanitaria, con unos gastos de comunidad de 85€ mensuales. Plaza de garaje y trastero opcionales en la calle La Merced. Zona muy comercial, con una excelente ubicación, y rodeada de comercios, tiendas, colegios, supermercados, etc.","calle Tudela, 1",-,Valladolid,Circular - Vadillos,4,2,105,8,Sí,No,No,No,Sí,No,No,No,No,169000,8
99959646,"Piso en Juan De Herrera, 8",Piso,"En el Cuatro de Marzo, en la calle Juan de Herrera nos encontramos una bonita vivienda junto al Antiguo Matadero y al río Pisuerga. Es una planta baja totalmente exterior y cuenta con una distribución independiente que divide la casa en cuatro dormitorios y salón, cocina equipada y un gran cuarto de baño al que se unió un pequeño aseo que existía originalmente. La calefacción es individual mediante caldera de Gas Natural. La vivienda está para entrar a vivir, suelos de parquet y corcho, y dobles ventanas de aluminio. También se renovaron los muebles de cocina, y se puso plato de ducha en el baño. Tiene una muy buena orientación este oeste, siendo exterior a la calle Juan de Herrera y a la calle Simón de Colonia. Muy bien comunicado y con todo tipo de servicios alrededor (colegios, tiendas, supermercados, etc).","JUAN DE HERRERA, 8",-,Valladolid,Cuatro de Marzo,4,1,94,Bajo,No,No,No,No,No,No,No,No,No,115000,9
105616516,Piso en paseo de Zorrilla,Piso,"La Casa Agency pone a la venta coqueto y acogedor piso en pleno Paseo Zorrilla, a tan sólo 2 minutos a pie del Corte Inglés y a 5 de Puente Colgante. Piso en tercera planta con dos ascensores y edificio de 10 plantas. Cuenta con dos dormitorios amplios, un trastero, cocina con acceso a una galería bastante amplia, salón comedor de 13 m² con acceso a un balcón cubierto. Un baño completo. Piso con vistas a zona ajardinada. 75 € de comunidad con agua caliente incluida (sólo se paga por el consumo de agua fría). Tiene recogida de basuras y calefacción central con contadores individuales. Suelos de parquet. Su estratégica ubicación brinda un fácil acceso a una variedad de servicios y comodidades, incluyendo proximidad a líneas de bus, supermercados, gimnasios, escuelas y áreas verdes. Todo lo que pueda necesitar está a pocos pasos de distancia, proporcionándole la comodidad que usted y su familia merecen. No deje pasar la oportunidad de convertir este encantador apartamento en su nuevo hogar. ¡Contáctenos hoy mismo para agendar una visita! Además, contamos con el departamento financiero FINANZATE, que ofrece asesoramiento sin compromiso y posibilidad de financiación a través de préstamos personales e hipotecarios. No pierdas la oportunidad, ¡contáctanos para más información y gestión! Nos dedicamos a la financiación por parte de los clientes a través de préstamos personales e hipotecarios, Según el perfil del cliente financiamos el 100%, 90% y el 80%. Tenemos la disponibilidad de asesores para llevar a cabo dicho asesoramiento financiero para que le puedan dar más información. Trabajamos con 16 entidades bancarias. Además, si no tiene aún casa y está buscando a través de la Inmobiliaria La Casa Agency podemos ayudarle de la mejor manera posible, No dude en obtener más información y llámenos para cualquier duda. Pásate por nuestra oficina y nuestro asesor financiero, te hará un estudio personalizado.",paseo de Zorrilla,-,Valladolid,Pº Zorrilla - Plaza de Toros,2,1,88,3,Sí,No,No,Sí,No,No,No,Sí,No,145000,3
104480932,Piso en calle de Manuel Azaña,Piso,"Vivienda en venta en la Calle Manuel Azaña - Edificio Tres Reinos. Magnífica vivienda de 3 dormitorios, 2 baños uno de ellos en suite, cocina y salón con vistas a Orientación. También dispone de plaza de garaje incluido en el precio. El inmueble se encuentra en perfectas condiciones, perfecto para entrar a vivir. La vivienda se encuentra en la mejor zona del barrio de Parquesol con un excelente estado. Ubicación ideal, muy próximo a supermercados, parada de autobús, bares, farmacia, bancos, colegio e instituto, policía. MEJOR VER EN PERSONA Si quieres vivir en una de las mejores zonas de la ciudad de Valladolid, o invertir en una de las zonas con mayor demanda de alquiler, esta es tu vivienda. TECNOCASA, Red Inmobiliaria líder en el sector con más de 30 años de experiencia, presente en más de 11 países, con más de 850 oficinas a nivel nacional y 14 oficinas en Valladolid. Realizamos valoraciones de su hogar totalmente gratuitas, gestionamos el proceso de post-venta (tanto para comprador como para el vendedor), además, les daremos toda la información que necesiten sobre hipotecas, les ayudaremos a tramitar herencias, certificados, cambios de titularidad, plusvalías, permiso de venta, etc. Contamos con la colaboración del departamento de financiación de KÍRON, su experto intermediario que le asesorará gratuitamente sin ningún compromiso. Nuestros servicios: -Hipoteca 'primera vivienda'. -Hipoteca 'cambio de vivienda'. -Hipoteca 100%. Disponemos de las mejores viviendas del mercado.",calle de Manuel Azaña,-,Valladolid,Parquesol,3,2,118,1,Sí,No,No,No,Sí,Sí,No,No,No,169900,7
104377235,"Piso en calle Veinte de Febrero, 6",Piso,"Ubicado en la calle Veinte de Febrero, este acogedor piso en la planta 5 te brinda una experiencia de vida única. Con una superficie de 159 metros cuadrados, de los cuales 125 metros cuadrados son útiles, este soleado hogar ofrece un espacio amplio y luminoso para ti y tu familia. Con 3 dormitorios + vestidor y 2 baños (uno con plato de ducha y el otro con bañera), cada rincón de este hogar está diseñado pensando en tu comodidad y bienestar. La cocina está totalmente amueblada y equipada. Las ventanas son de PVC climalit, el suelo de marmol y parquet, garantizan un ambiente acogedor en todas las estancias. Con grandes armarios empotrados forrados y vestidos, puerta de seguridad. Tu tranquilidad y seguridad están aseguradas en todo momento. Su ubicación céntrica te permite disfrutar de todas las comodidades que ofrece la ciudad, con fácil acceso a tiendas, restaurantes y lugares de ocio. La orientación sur y la calefacción central te aseguran un ambiente cálido y confortable durante todo el año. Con ascensor y portero físico este hogar ha sido reformado con gran calidad y cuidado para convertirse en el lugar perfecto para construir tus recuerdos más preciados.","calle Veinte de Febrero, 6",-,Valladolid,Centro,3,2,159,5,Sí,No,No,No,No,No,No,No,No,385000,8
104721725,Piso en calle de Montes y Martín-Baro,Piso,"Vallenova tiene a la venta un estupendo piso en la calle Montes y Martín Baró, muy cerca del Laboratorio de las Artes de Valladolid (LAVA). Este inmueble, construido en 1996, cuenta con una superficie de 113 metros cuadrados. En su interior, encontrarás 4 dormitorios, 2 baños y 3 armarios empotrados para tu comodidad. La cocina, que viene amueblada y equipada, añade practicidad al espacio.  Además, el edificio dispone de ascensor, calefacción central, garaje y trastero. Por si fuera poco, su ubicación exterior y luminosa le otorga un ambiente acogedor y lleno de luz natural, con una orientación ideal al sur-oeste. Ubicado a escasos metros del Paseo de zorrilla, la zona cuenta con todos los servicios a destacar, instalaciones deportivas, centro cívico, comercio de proximidad, cuenta con varias líneas de transporte público desde donde se podrá desplazar a cualquier punto de la ciudad en pocos minutos. A 10 minutos de la estación de Ave.  No dejes escapar la oportunidad de hacer tuyo este encantador piso que seguramente superará tus expectativas. ¡Contáctanos ya para concertar una visita!",calle de Montes y Martín-Baro,-,Valladolid,Cuatro de Marzo,4,2,113,3,Sí,No,No,No,Sí,Sí,No,Sí,No,185000,7
104468589,Piso en calle Eslava,Piso,"Exclusiva vivienda en la Calle Eslava junto al Paseo Zorrilla en Valladolid. Es una vivienda única, ya que cuenta con 172 metros construidos y 147 metros útiles. Dispone de una distribución óptima, con dos vestíbulos y dos zonas claramente diferenciadas, zona de día y zona de noche. En la zona de día tenemos un espectacular salón con una forma ideal para su amueblamiento, cocina amueblada con zona de comedor independiente y un baño completo. En la segunda zona (noche) tenemos cuatro amplios dormitorios y dos baños completos (uno de ellos incorporado en la suite principal). Todos los dormitorios son muy amplios (el más pequeño 14,17 m2 útiles) y cuentan con armarios empotrados forrados y vestidos. En total la vivienda cuenta con cuatro dormitorios, tres baños completos, salón y cocina con comedor. La vivienda es exterior prácticamente en su totalidad por lo que cuenta con gran luminosidad durante todo el día. Se encuentra apta para entrar a vivir. Además dispone de una gran plaza de garaje y un enorme trastero con acceso directo desde el ascensor del propio edificio. Originalmente eran dos viviendas, agregadas durante la obra y con una única finca registral ya que sólo es una vivienda, aunque mantiene las dos puertas de entrada originales, lo que permite incluso segregar en dos viviendas independientes. La comunidad es muy tranquila y cuenta con un patio comunitario de uso y disfrute de los propios vecinos. Se encuentra ubicado en un enclave único junto al Paseo Zorrilla al lado del Corte Inglés y perfectamente comunicado con todas las salidas de la ciudad. Dispone de todo tipo de servicios cercanos (transporte, comercios, colegios, etc. ).",calle Eslava,-,Valladolid,Cuatro de Marzo,4,3,172,2,Sí,No,No,No,Sí,Sí,No,Sí,No,309900,7
104820176,Piso en calle Marina de Escobar,Piso,"Exclusiva vivienda en la Casa Mantilla"" en Acera de Recoletos en Valladolid. Es una vivienda única enclavada en el edificio con mayor encanto e historia de Valladolid, construido a finales del siglo xix y rehabilitado totalmente en el año 2006 tanto interior como exteriormente. Ocupa íntegramente la manzana situada entre las calles Acera de Recoletos, Miguel Íscar, Marina Escobar y Mantilla. El edificio cuenta, en la actualidad, con siete portales de viviendas. En concreto el portal al que pertenece esta vivienda se encuentra ubicado en la Calle Marina Escobar. En la entrada al edificio nos encontramos con un portón y portal majestuosos indicativo de la singularidad del inmueble. La vivienda cuenta con una distribución óptima con 123 m2 construidos. Dispone de un gran hall - recibidor, cocina amueblada con espacio para mesa, dos dormitorios, dos baños completos y un tercer dormitorio tipo suite con un tercer baño completo incorporado. La vivienda cuenta con calefacción por Gas Natural y aire acondicionado por conductos. La vivienda es exterior totalmente con grandes ventanales y un acristalamiento espectacular techo - suelo en el salón. Si lo que quieres es vivir en una vivienda de ensueño única y en un edificio emblemático esta es tu vivienda.""",calle Marina de Escobar,-,Valladolid,Centro,3,3,123,2,Sí,No,No,No,No,No,Sí,No,No,550000,0
105764328,"Piso en avenida de Salamanca, 1",Piso,"¡Descubre tu nuevo hogar en el corazón de Valladolid! VALLENOVA presenta una exclusiva vivienda en el Edificio Duque de Lerma, el más alto de Valladolid. Ubicada en la planta 19, esta espectacular vivienda ofrece una calidad de construcción excepcional y unas vistas inigualables al río Pisuerga y a toda la ciudad. Situada junto a la playa de las Moreras, en pleno centro, disfrutarás de una ubicación privilegiada. La vivienda es totalmente exterior, lo que garantiza una abundante luz natural y vistas panorámicas. Se distribuye en tres amplios dormitorios, dos baños (uno en suite en el dormitorio principal), un salón-comedor y una cocina equipada. Además, cuenta con dos armarios empotrados, calefacción central, carpintería interior de madera maciza, suelos de parquet y ventanas de aluminio lacado en blanco con climalit. El edificio ofrece un portal de lujo con conserje y tres ascensores, uno de ellos panorámico de cristal. La vivienda incluye una plaza de garaje en el precio y, en la última planta del edificio, hay un tendedero comunitario. No pierdas la oportunidad de vivir en una de las mejores zonas de Valladolid, con todas las comodidades y servicios a tu alcance. ¡Contacta con nosotros para más información y para concertar una visita! VALLENOVA INMOBILIARIA - Tu hogar, nuestra prioridad.","avenida de Salamanca, 1",-,Valladolid,Huerta del Rey,3,2,172,19,Sí,No,No,No,Sí,Sí,No,No,No,305000,7
